anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
45908,Long Wa,UNKNOWN,UNKNOWN,TV,59,"Feb 1, 2009 to ?",Unknown,17754,21108,78
45909,Du Jiao Leyuan,UNKNOWN,Fantasy,TV,104,2007 to ?,Original,15735,23149,46
45911,Kala Yuedui,UNKNOWN,UNKNOWN,TV,52,"Apr 28, 2009 to ?",Original,17124,21218,76
45912,Xiaolong Da Kung Fu,UNKNOWN,UNKNOWN,TV,84,2009 to ?,Unknown,13739,23490,43
45914,Xiaolong Da Kung Fu: Shenlong Zhandui,UNKNOWN,UNKNOWN,TV,52,2015 to ?,Unknown,13740,23491,43
45915,Nono Senlin,UNKNOWN,UNKNOWN,TV,104,"Jan 25, 2009 to ?",Unknown,18573,20850,86
45916,Hibabe,UNKNOWN,UNKNOWN,TV,26,2007,Unknown,16433,21292,75
45919,Jia You Ernu,UNKNOWN,UNKNOWN,TV,367,"Apr 10, 2008 to ?",Unknown,16815,23297,44
45920,Xiaokang Kang,UNKNOWN,UNKNOWN,TV,104,2006 to ?,Original,13735,23979,39
45921,Wu Buxiang,UNKNOWN,UNKNOWN,TV,52,Nov 2009 to ?,Unknown,13437,21266,75
45922,Jin Pingguo,UNKNOWN,UNKNOWN,TV,60,2011 to ?,Original,16885,23831,40
45924,Zhimou Jiazu,UNKNOWN,Comedy,TV,65,2007 to ?,Original,14283,23377,43
45925,Babo Xiongmao,UNKNOWN,Fantasy,TV,26,2006 to ?,Unknown,14710,23130,46
45926,Bu Yiyang de Tuzi Yinyue Pian,UNKNOWN,UNKNOWN,TV,26,Not available,Original,15007,23640,41
45927,Bu Yiyang de Tuzi Shizi Pian,UNKNOWN,UNKNOWN,TV,39,2009 to ?,Original,15006,23639,41
45928,Bu Yiyang de Tuzi Huihua Pian,UNKNOWN,UNKNOWN,TV,26,2009 to ?,Original,15004,23638,41
45929,Bu Yiyang de Tuzi Jiyi Pian,UNKNOWN,UNKNOWN,TV,26,Not available,Original,15005,23587,42
45930,Tangshi Gushi,UNKNOWN,UNKNOWN,TV,26,2007 to ?,Other,12807,23887,40
45931,Longmai Chuanqi,UNKNOWN,Adventure,TV,98,"Jun 28, 2008 to ?",Unknown,17763,23312,44
45932,Zheng He Xia Xiyang,UNKNOWN,Adventure,TV,52,Not available,Unknown,14255,23036,47
45934,Chaonu Wawa,UNKNOWN,UNKNOWN,TV,160,2006 to ?,Original,15177,23248,45
45935,Sirotsumekusa,UNKNOWN,Suspense,Movie,1,"Sep 19, 2020",Original,19928,18396,229
45938,Xiao Shu Ping Ping,UNKNOWN,Fantasy,TV,104,2010 to ?,Original,13649,23973,39
45941,Xiao Shu Ping Ping: Chengyu Dadian,UNKNOWN,UNKNOWN,TV,52,Aug 2009 to Jul 2010,Other,13650,22622,53
45944,Gushi Xuetang,UNKNOWN,UNKNOWN,TV,210,"Jan 1, 2009 to ?",Original,16232,24034,39
45945,Chengshi Yezhan Pai,UNKNOWN,Adventure,TV,26,2001 to ?,Original,15188,23143,46
45946,Ori Niu He Di Rui Yang,UNKNOWN,UNKNOWN,TV,115,Not available,Original,18723,24157,38
45948,Soujiu Quan Ahoo,UNKNOWN,Drama,TV,20,2009 to ?,Original,20031,23474,43
45952,Cupid Da Nao Shi Er Xingzuo,UNKNOWN,"Adventure, Fantasy",TV,48,2007 to ?,Original,15394,23651,41
45953,Tan Zhang QiQi,UNKNOWN,Mystery,TV,26,"Sep 15, 2003 to ?",Original,12801,23475,43
45954,Xiao Jie Bie Taoqi,UNKNOWN,UNKNOWN,TV,144,2009 to ?,Original,13602,23894,40
45956,Weiba Menghuan Qu,UNKNOWN,Fantasy,TV,26,2006 to ?,Original,13365,23746,41
45957,Weiba Menghuan Qu: Baike 150 Wen,UNKNOWN,Fantasy,TV,75,Not available,Original,13366,23484,43
45958,Long Taizi,UNKNOWN,Fantasy,TV,26,2008 to ?,Original,17750,23450,43
45959,Long Taizi: Yinhe Da Maoxian,UNKNOWN,"Fantasy, Sci-Fi",TV,50,May 2011 to May 2012,Original,17752,22113,60
45960,Long Taizi: Yanre Xingqiu Zhi Mi,UNKNOWN,"Fantasy, Sci-Fi",TV,50,2013 to ?,Original,17751,23503,42
45961,Assault Lily: Fruits,6.31,"Comedy, Fantasy",ONA,13,"Jul 20, 2021 to Jan 4, 2022",Other,7347,8499,4255
45962,Huanbao Jian,UNKNOWN,"Adventure, Fantasy",TV,52,Apr 2004 to ?,Original,16592,23432,43
45963,Guandong Dangpu,UNKNOWN,UNKNOWN,TV,60,2009 to ?,Original,16185,23817,40
45964,Qixiang Bai Wen,UNKNOWN,Fantasy,TV,100,2008 to ?,Original,19125,23863,40
45965,Jiayan Mama,UNKNOWN,UNKNOWN,TV,13,2007 to ?,Unknown,16845,23623,42
45966,Xiqu Dongman,UNKNOWN,UNKNOWN,TV,97,2008 to ?,Other,13939,23767,41
45967,Fei Mao Shou Gou Jingling Shu,UNKNOWN,Comedy,TV,26,2007 to ?,Original,15851,23421,43
45968,Jinsihou Shenyou Shuxiang Wangguo,UNKNOWN,Fantasy,TV,108,Feb 2008 to ?,Unknown,16927,23624,42
45969,Waitan 520,UNKNOWN,"Drama, Romance",TV,26,2006 to ?,Original,13297,23482,43
45971,Tianwai Fuxing: Chi Jian Chuanqi,UNKNOWN,UNKNOWN,TV,26,2009 to ?,Unknown,12965,23549,42
45973,Lu Dang Jin Jian,UNKNOWN,UNKNOWN,TV,30,Dec 2008 to 2009,Novel,17773,22909,49
45974,Kaixin Sishu,UNKNOWN,Comedy,TV,64,2009 to ?,Original,17103,22663,52
45975,Douya Nongchang,UNKNOWN,Comedy,TV,40,Jun 2012 to ?,Original,15719,22425,55
45976,Tonghua Dongwuyuan,UNKNOWN,UNKNOWN,TV,72,2005 to ?,Original,13051,22732,51
45977,Baobei Geda Ding Gua Gua,UNKNOWN,UNKNOWN,TV,52,1999,Original,14825,22232,58
45978,Dou Ding De Kuaile Riji,UNKNOWN,Comedy,TV,104,"May 11, 2010 to ?",Original,15672,22246,58
45979,Bu Bu Xiong,UNKNOWN,UNKNOWN,TV,26,2007,Original,14995,22324,57
45980,Jidian Xiao Xinshi,UNKNOWN,UNKNOWN,TV,36,2008 to ?,Original,16854,22781,51
45981,Xi Ge Xi Mei: Kaixin Leyuan,UNKNOWN,Comedy,TV,25,2012 to ?,Original,13482,22465,55
45983,Shujia Shang De Qimiao Shijie,UNKNOWN,Fantasy,TV,110,2010 to ?,Book,19876,22845,50
45984,Yundong Xiao Fuxing,UNKNOWN,Sports,TV,52,2005 to ?,Original,14181,22411,56
45985,Xiao Chong Sanbao,UNKNOWN,Fantasy,TV,52,2009 to ?,Original,13566,22737,51
