anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
56,Soukyuu no Fafner: Dead Aggressor,7.26,"Action, Drama, Sci-Fi",TV,25,2004,Original,2751,3000,47077
57,Mahou Shoujo Lyrical Nanoha,7.41,"Action, Comedy, Drama",TV,13,2004,Original,2044,1921,101048
58,Mahou Shoujo Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",TV,13,2005,Original,622,2555,63640
59,Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,24,2005,Visual novel,3854,820,273378
60,Kidou Senshi Gundam,7.76,"Action, Drama, Sci-Fi",TV,43,1979,Original,1005,1632,126804
61,Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,"Adventure, Drama, Romance, Sci-Fi",OVA,12,1996,Original,571,2231,79682
62,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.96,"Drama, Sci-Fi",OVA,6,1989,Original,630,2718,56839
63,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.76,"Drama, Romance, Sci-Fi",Movie,1,1998,Original,5014,5384,13284
64,Kidou Senshi Gundam 0083: Stardust Memory,7.24,"Adventure, Drama, Romance, Sci-Fi",OVA,13,1991,Original,2801,3173,42580
65,Kidou Senshi Zeta Gundam,7.9,"Drama, Romance, Sci-Fi",TV,50,1985,Original,719,2401,70651
66,Kidou Senshi Gundam ZZ,6.68,"Comedy, Drama, Sci-Fi",TV,47,1986,Original,5437,3254,40669
67,Kidou Senshi Gundam: Gyakushuu no Char,7.66,"Drama, Sci-Fi",Movie,1,1988,Novel,1225,3005,46928
68,Kidou Senshi Gundam F91,6.62,"Drama, Sci-Fi",Movie,1,1991,Original,5740,3771,30560
69,Kidou Senshi Victory Gundam,6.77,"Drama, Sci-Fi",TV,51,1993,Original,4996,4037,26469
70,Shin Kidou Senki Gundam Wing,7.69,"Action, Drama, Sci-Fi",TV,49,1995,Original,1168,1391,155744
71,Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,"Action, Award Winning, Drama, Sci-Fi",OVA,3,1997,Original,1050,2996,47208
72,Kidou Shinseiki Gundam X,7.34,"Adventure, Drama, Sci-Fi",TV,39,1996,Original,2330,3534,34851
73,Kidou Senshi Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,50,2002,Original,1011,1330,164436
74,Kidou Senshi Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",TV,50,2004,Original,3122,1887,104048
75,Turn A Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,50,1999,Original,1057,3041,45772
76,Kidou Butouden G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,49,1994,Original,1451,2483,66828
77,Last Exile,7.79,"Action, Adventure, Sci-Fi",TV,26,2003,Original,943,1297,170062
78,Mai-HiME,7.42,"Action, Fantasy, Girls Love",TV,26,2004,Original,1981,1781,113210
79,Mai-Otome,7.28,"Comedy, Drama, Fantasy",TV,26,2005,Original,2631,2896,50454
80,Shin Shirayuki-hime Densetsu Prétear,7.16,"Comedy, Drama, Fantasy, Romance",TV,13,2001,Manga,3271,2589,62156
81,Air,7.28,"Drama, Romance, Supernatural",TV,12,2005,Visual novel,2603,761,292351
82,Aishiteruze Baby★★,7.44,"Comedy, Drama, Romance",TV,26,2004,Manga,1895,1919,101134
83,Akazukin Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",TV,74,1994,Manga,1733,5140,14917
84,Ayashi no Ceres,7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,24,2000,Manga,3156,2628,60668
85,Boys Be...,6.4,"Comedy, Romance, Slice of Life",TV,13,2000,Manga,6889,4306,22934
86,Hana yori Dango,7.61,"Drama, Romance",TV,51,1996,Manga,1359,2643,59814
